"source","target","scope"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.directory.shared:shared-ldap-model:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.directory.shared:shared-asn1-ber:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.directory.shared:shared-asn1-api:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.directory.shared:shared-util:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-util:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-util:1.0.0-M5","org.apache.directory.shared:shared-i18n:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-asn1-api:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-asn1-api:1.0.0-M5","org.apache.directory.shared:shared-i18n:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-asn1-ber:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-asn1-ber:1.0.0-M5","org.apache.directory.shared:shared-util:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-asn1-ber:1.0.0-M5","org.apache.directory.shared:shared-asn1-api:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-asn1-ber:1.0.0-M5","org.apache.directory.shared:shared-i18n:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","org.apache.directory.shared:shared-asn1-ber:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","org.apache.mina:mina-core:2.0.4","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","xpp3:xpp3:1.1.3.4.O","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","org.apache.directory.shared:shared-asn1:0.9.18","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","org.apache.directory.shared:shared-asn1-api:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","org.apache.directory.shared:shared-i18n:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","commons-lang:commons-lang:2.6","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","commons-collections:commons-collections:3.2.1","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","org.apache.directory.shared:shared-util:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M4","org.apache.felix:org.apache.felix.framework:3.2.2","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M4","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M4","org.apache.mina:mina-core:2.0.3","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M4","commons-pool:commons-pool:1.5.6","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M4","org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M4","org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M4","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M4","org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M4","org.apache.directory.shared:shared-i18n:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-i18n:1.0.0-M4","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M4","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M4","org.apache.directory.shared:shared-i18n:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M4","org.apache.directory.shared:shared-ldap-model:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M4","org.apache.directory.shared:shared-util:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M4","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.apache.directory.shared:shared-i18n:1.0.0-M8","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.apache.directory.shared:shared-ldap-client-api:1.0.0-M8","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.apache.mina:mina-core:2.0.3","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.apache.directory.shared:shared-i18n:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","commons-collections:commons-collections:3.2.1","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","commons-lang:commons-lang:2.6","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.apache.directory.shared:shared-ldap-model:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.apache.directory.shared:shared-asn1-ber:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.apache.directory.shared:shared-asn1-api:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M4","org.apache.directory.shared:shared-util:1.0.0-M4","Compile"
"org.apache.directory.shared:shared-asn1-api:1.0.0-M4","org.slf4j:slf4j-api:1.6.1","Compile"
